ITERATION,dist_type,hist_type,num_bins,run_time,score
1,l2,grayvalue,45.0,1.1181490421295166,0.3707865168539326
1,chi2,grayvalue,50.0,1.0831577777862549,0.3707865168539326
1,intersect,dxdy,140.0,26.757169723510742,0.449438202247191
1,intersect,dxdy,40.0,24.763355255126953,0.47191011235955055
1,intersect,grayvalue,130.0,1.240448236465454,0.449438202247191
1,intersect,grayvalue,40.0,0.9126536846160889,0.5280898876404494
1,l2,dxdy,70.0,22.291917085647583,0.34831460674157305
1,chi2,rg,50.0,14.483728408813477,0.39325842696629215
1,l2,dxdy,135.0,21.85012459754944,0.3146067415730337
1,l2,rg,105.0,14.084561586380005,0.34831460674157305
1,intersect,grayvalue,140.0,1.1210904121398926,0.42696629213483145
1,l2,rg,120.0,17.25864839553833,0.3146067415730337
1,intersect,rgb,95.0,127.43784523010254,0.8202247191011236
1,l2,grayvalue,70.0,1.0554823875427246,0.3146067415730337
1,intersect,dxdy,10.0,16.930821657180786,0.43820224719101125
1,chi2,dxdy,90.0,19.618258476257324,0.3707865168539326
1,intersect,dxdy,60.0,21.103980541229248,0.5056179775280899
1,chi2,grayvalue,80.0,1.1565883159637451,0.3258426966292135
1,intersect,rg,55.0,13.92885446548462,0.8089887640449438
1,l2,rgb,65.0,70.27170538902283,0.3146067415730337
1,chi2,dxdy,125.0,17.823480129241943,0.3595505617977528
1,l2,rgb,105.0,192.88510990142822,0.3258426966292135
1,l2,rgb,65.0,62.38161373138428,0.3146067415730337
1,chi2,rgb,90.0,301.31908082962036,0.30337078651685395
1,intersect,rgb,105.0,183.66902041435242,0.797752808988764
1,intersect,rgb,95.0,134.50596261024475,0.8202247191011236
1,intersect,rgb,125.0,239.5968554019928,0.7303370786516854
1,chi2,rgb,110.0,384.8543999195099,0.2696629213483146
1,chi2,rgb,90.0,199.28193426132202,0.30337078651685395
